drug,date,count,expected_count,zscore,n_context_reports,summary,dominant_organ_systems,dominant_severity,notable_pattern,confidence_caveat
amoxicillin,2022-03-02,54,29.07,2.71,8,"There was a statistically significant spike in adverse event reports for amoxicillin on 2022-03-02, with 54 reports received compared to an expected 29.07 based on a Holt-Winters forecast.","['skin', 'hypersensitivity']",life-threatening,"Reports from this time period often involved multiple medications, including amoxicillin, and were frequently associated with hospitalization.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
amoxicillin,2022-11-22,57,27.35,3.3,8,"On November 22, 2022, there was a statistically significant spike in adverse event reports for amoxicillin, with 57 reports received compared to an expected 27.35.","['skin', 'hepatic', 'cardiovascular']",life-threatening,"Reports from November 19, 2022, show a cluster of severe reactions, including anaphylactic shock, drug-induced liver injury, and toxic epidermal necrolysis.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
amoxicillin,2023-04-24,47,26.16,3.25,8,"On 2023-04-24, there was a statistically anomalous spike in adverse event reports for amoxicillin, with 47 reports exceeding the expected count of 26.16.","['reproductive', 'gastrointestinal', 'dermatological', 'cardiovascular', 'nervous system']",life-threatening,"Reports from 2023-04-21 and 2023-04-24 mention foetal exposure during pregnancy and premature delivery, suggesting a potential signal related to pregnancy.",This is an exploratory signal from a limited sample of 8 reports and should not be considered a clinical conclusion.
amoxicillin,2024-09-18,117,24.92,5.13,8,"There was a statistically significant spike in adverse event reports for amoxicillin on 2024-09-18, with 117 reports received, exceeding the expected count of 24.92.","['gastrointestinal', 'cardiovascular']",life-threatening,"Reports from 2024-09-16 show a cluster of severe adverse events, including anaphylactic reactions, anaphylactic shock, and febrile neutropenia, often in patients taking multiple medications.",This signal is based on a limited sample of 8 reports and should be further investigated before any clinical conclusions can be drawn.
amoxicillin,2024-09-19,116,30.7,3.46,8,"There was a statistically anomalous spike in adverse event reports for amoxicillin on 2024-09-19, with 116 reports exceeding the expected count of 30.7.","['skin', 'musculoskeletal', 'cardiovascular']",life-threatening,"Reports included severe reactions such as anaphylactic reaction, febrile neutropenia, and cardiac arrest, often in patients taking multiple medications.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
atorvastatin,2022-03-02,127,73.8,3.78,8,"There was a statistically significant spike in adverse event reports for atorvastatin on 2022-03-02, with 127 reports exceeding the expected count of 73.8.","['nervous system', 'gastrointestinal system', 'musculoskeletal system', 'renal system', 'hematologic system']",severe,"Reports from this time window often involved multiple medications and complex medical conditions, with some patients experiencing severe adverse events such as hospitalization.",This signal is based on a limited sample of 8 reports and should be further investigated to confirm its validity and clinical significance.
atorvastatin,2022-10-05,41,95.65,-3.06,8,"On 2022-10-05, there were 41 adverse event reports for atorvastatin, which is lower than the expected 95.65 reports, indicating a statistically anomalous drop in reports.","['nervous system', 'gastrointestinal system']",mild,"The reports from 2022-10-02 show a mix of non-serious and serious adverse events, with some patients experiencing multiple symptoms. There is no clear pattern beyond the aggregate stats.",This is an exploratory signal from a limited sample of 8 reports and should not be considered a clinical conclusion.
atorvastatin,2023-06-05,109,76.91,2.5,8,"On June 5, 2023, there was a statistically anomalous spike in adverse event reports for atorvastatin, with 109 reports received, exceeding the expected count of 76.91.","['gastrointestinal', 'nervous system']",life-threatening,"Reports from June 2, 2023, suggest a possible association with polypharmacy, as many patients were taking multiple medications concurrently with atorvastatin.",This signal is based on a limited sample of 8 reports and should not be considered a clinical conclusion.
hydrochlorothiazide,2022-03-07,60,32.74,2.59,8,"On 2022-03-07, there was a statistically anomalous spike in adverse event reports for hydrochlorothiazide, with 60 reports received compared to an expected 32.74 based on Holt-Winters forecasting.","['cardiovascular', 'nervous system', 'musculoskeletal']",life-threatening,"Reports from 2022-03-04 show a mix of serious and non-serious events, including hospitalizations and a death, with patients taking various combinations of medications, including other diuretics and antihypertensives.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
hydrochlorothiazide,2022-09-26,61,34.49,2.59,8,"There was a statistically significant spike in adverse event reports for hydrochlorothiazide on 2022-09-26, with 61 reports exceeding the expected count of 34.49.","['eye', 'respiratory']",life-threatening,"The majority of reports were from patients taking hydrochlorothiazide in combination with other medications, particularly DUPIXENT.",This signal is based on a limited sample of 8 reports and should be further investigated before any conclusions can be drawn.
