drug,date,pattern,is_real_signal,notes,fda_reference_url
amoxicillin,2022-03-02,"skin reactions, hypersensitivity",Y,"Penicillin hypersensitivity/skin reactions are a well-documented, labeled class effect.",
amoxicillin,2022-11-22,"anaphylactic shock, drug-induced liver injury, toxic epidermal necrolysis, clavulanic acid",Y,VERIFIED: NIH LiverTox confirms amoxicillin-clavulanate as leading cause of clinically apparent DILI in US/Europe.,https://www.ncbi.nlm.nih.gov/books/NBK548517/
amoxicillin,2023-04-24,"pregnancy exposure, premature delivery",N,"Amoxicillin is pregnancy-category-safe; preterm delivery more likely confounded by the infection being treated, not the drug.",
amoxicillin,2024-09-18,"anaphylactic shock, anaphylactic reaction, febrile neutropenia",Y,"Anaphylaxis is a well-documented, established penicillin-class risk.",
amoxicillin,2024-09-19,"anaphylactic reaction, febrile neutropenia, cardiac arrest",Y,Same — established penicillin anaphylaxis risk.,
atorvastatin,2022-03-02,"polypharmacy, hospitalization, multiple statins",Uncertain,"Generic polypharmacy/hospitalization pattern, not a specific documented statin signal.",
atorvastatin,2022-10-05,"DROP - back pain, hypoaesthesia, non-serious",N,"This is a DROP in reports, not an increase — a reporting-volume dip is not evidence of a safety risk.",
atorvastatin,2023-06-05,"polypharmacy, gastrointestinal/nervous/cardiovascular",Uncertain,"Vague polypharmacy pattern, no specific documented statin signal (e.g. myopathy) named.",
hydrochlorothiazide,2022-03-07,"cardiovascular, nervous system, hospitalizations",Uncertain,"Generic cardiovascular/nervous system pattern, no specific documented HCTZ signal.",
hydrochlorothiazide,2022-09-26,"DUPIXENT co-administration, eye/respiratory",Uncertain,"Driven by coincidental DUPIXENT co-administration, not an HCTZ-specific mechanism.",
hydrochlorothiazide,2022-10-05,"DROP - falls, renal impairment",N,"DROP in reports, not an increase.",
hydrochlorothiazide,2022-11-17,"elderly patients 79-87, cardiovascular/renal",Y,HCTZ renal/electrolyte effects in elderly patients are a documented class effect.,
hydrochlorothiazide,2023-07-31,"sepsis, haemorrhagic stroke, cardio-respiratory arrest",Uncertain,"Sepsis/stroke in an elderly hypertensive population — plausible comorbidity-driven, not clearly HCTZ-specific.",
hydrochlorothiazide,2024-10-22,"renal failure, TIA, NEOPLASTIC events",Y,"VERIFIED: FDA Drug Safety Communication (Aug 20, 2020) — HCTZ and non-melanoma skin cancer risk.",https://www.fda.gov/drugs/drug-alerts-and-statements/fda-approves-label-changes-hydrochlorothiazide-describe-small-risk-non-melanoma-skin-cancer
ibuprofen,2023-08-02,"immunosuppressants, nervous/GI",Uncertain,Vague immunosuppressant co-administration pattern.,
ibuprofen,2023-08-09,"liver damage, seizures, cardiovascular",Uncertain,Liver damage + seizures is not the classic documented NSAID signal cluster.,
ibuprofen,2023-10-04,"GI/renal/dermatological, mild",Y,"GI + renal effects are FDA boxed-warning-level, well-documented NSAID risks.",
ibuprofen,2023-10-29,"other NSAIDs, GI/musculoskeletal",Y,GI risk amplified by other NSAID co-use — matches established NSAID GI signal.,
ibuprofen,2023-11-12,"renal impairment, GI perforation, thrombocytopenia",Y,GI perforation + renal impairment directly matches FDA NSAID boxed warnings.,
ibuprofen,2023-11-21,"opioid co-administration, dependence/overdose",N,"Dependence/overdose pattern is opioid-driven (co-administered), not an ibuprofen-specific signal.",
ibuprofen,2024-04-04,"drug hypersensitivity, skin/respiratory",Y,"NSAID hypersensitivity/respiratory reactions are a documented, recognized phenomenon (AERD).",
lisinopril,2022-03-14,"DROP - renal/cardiovascular, no clear pattern",N,"DROP in reports, not an increase.",
lisinopril,2023-01-20,"death, GI/cardiovascular/neurological",Uncertain,"Vague multi-system pattern with death, no specific documented ACE-inhibitor mechanism named.",
lisinopril,2023-10-19,"sepsis, septic shock, intestinal perforation",Y,"ACE-inhibitor intestinal angioedema is a distinct, published clinical entity matching this GI/immune pattern.",
metformin,2022-03-02,"renal impairment, lactic acidosis, co-med lisinopril/cipro",Y,Lactic acidosis + renal impairment is metformin's FDA BLACK BOX WARNING combination exactly.,
metformin,2022-09-26,"skin, GI, hepatic - no clear pattern",Uncertain,No clear pattern per the explanation itself — vague multi-system.,
metformin,2023-02-10,"lactic acidosis, cardiac arrest, myocardial infarction",Y,Lactic acidosis + cardiac events matches metformin's black box warning.,
metformin,2023-11-24,"neuropathy, arthralgia - mild, no clear pattern",Y,"Metformin-associated B12 deficiency causing peripheral neuropathy is a documented, labeled effect.",
metformin,2023-12-25,"DROP - lactic acidosis, AKI, coma",N,"DROP in reports, not an increase (regardless of individual report severity).",
metformin,2024-12-05,"GI obstruction, neuropathy, blood glucose",Uncertain,"Mixed GI/neuropathy pattern, partially overlaps B12 signal but not clearly enough.",
omeprazole,2022-03-02,"cardiovascular/GI/respiratory, hospitalizations",Uncertain,Generic multi-system hospitalization pattern.,
omeprazole,2022-03-07,"AKI, interstitial lung disease, suspected suicide",Y,"PPI-associated acute interstitial nephritis/AKI is a well-documented, labeled effect.",
omeprazole,2023-02-01,"cardiac arrest, death, respiratory failure",Uncertain,Cardiac arrest is not a classically documented PPI-specific signal.,
omeprazole,2023-04-28,"co-administered vaccines, severe/life-threatening",Uncertain,"Driven by coincidental vaccine co-administration, not clearly PPI-specific.",
sertraline,2022-12-13,"death, hospitalizations, life-threatening",Uncertain,"Vague serious-outcome pattern, no specific documented SSRI mechanism named.",
sertraline,2024-09-05,"suicide attempt, brain fog, cardio-respiratory arrest",Y,Suicide attempt directly matches SSRI's FDA black box suicidality warning.,
sertraline,2024-09-13,"death, hospitalization, alopecia, hidradenitis",Uncertain,Alopecia is a documented but minor SSRI effect; overall pattern too mixed to confirm.,
